,Aéroport,Latitude,Longitude
0,Paris Charles-de-Gaulle(CDG),49.0068908,2.5710819691019156
1,Côte d'Azur(NCE),43.65980345,7.213736626877628
2,Lyon-Saint Exupéry(LYS),45.72442685,5.086515135250837
3,Marseille(MRS),43.4375155,5.213025909827175
4,Paris Orly(ORY),48.73005955,2.3678312558143455
5,Toulouse Blagnac Airport(TLS),43.629977999999994,1.360809880743464
6,Mérignac(BOD),44.82928695,-0.7125760651627708
7,Nantes Atlantique Airport(NTE),47.151840899999996,-1.6084620308979245
8,Strasbourg International Airport(SXB),48.538870900000006,7.625446281168612
9,Méditerranée(MPL),43.5803862,3.9631657406362075
10,Guipavas(BES),48.44769025,-4.417369789760848
11,Rennes St Jacques Airport(RNS),48.06890935,-1.7301868409962502
12,Aulnat(CFE),45.78948285,3.1601876800580655
13,Biarritz Airport(BIQ),,
14,Uzein(PUF),43.3789419,-0.4157200487958993
15,Lorient Airport(LRT),47.760329799999994,-3.443161458664811
16,Bastia Airport(BIA),42.55466885,9.481946623405268
17,Grenoble–Isère Airport(GNB),,
18,Paris Beauvais(BVA),49.4543222,2.1116686710835992
19,Lille Lesquin Airport(LIL),50.5681339,3.105251611858831
20,Chambéry(CMF),45.6352153,5.881803393116886
21,Ajaccio Airport(AJA),41.9215216,8.799913054381443
22,Figari-Sud Corse(FSC),41.50326675,9.098326639079088
23,Calvi Airport(CLY),42.52981585,8.792082286749043
24,Mulhouse EuroAirport(MLH),47.603236949999996,7.52434812773247
25,Lourdes/Tarbes Airport(LDE),,
26,Metz-Nancy-Lorraine(ETZ),48.978364850000006,6.2437694381861775
27,Caen Airport(CFR),49.175937899999994,-0.45504447765271416
28,Perpignan Airport(PGF),42.743035649999996,2.870327259088999
29,Brive-la-Gaillarde Airport(BVE),45.040013599999995,1.4864343303924368
30,Toulon(TLN),43.095769149999995,6.1478463767391816
31,Aurillac Airport(AUR),44.891458400000005,2.4213082970800848
32,Limoges Airport(LIG),45.863076750000005,1.180182915228558
33,Castres Airport(DCM),43.5563998,2.289003274410029
34,Béziers(BZR),43.3227155,3.35544795614217
35,Nîmes(FNI),43.7584952,4.415388999259653
36,Bergerac Airport(EGC),44.825225599999996,0.5165842567676884
37,Carcassonne Airport(CCF),43.2159709,2.3064304810690723
38,Poitiers Biard Airport(PIS),,
39,Dole-Jura Airport(DLE),47.041742400000004,5.4276467654311045
40,Tours Val de Loire Airport(TUF),47.4343697,0.7284151068014448
41,Châlons-en-Champagne(XCR),48.77629805,4.187693712492935
42,La Rochelle Airport(LRH),46.176982699999996,-1.1914677557999078
43,Le Puy Airport(LPY),45.0805706,3.7616226448808954
44,Saint Nazaire Montoir Airport(SNR),47.312637699999996,-2.1517499341229978
45,Deauville Airport(DOL),,
46,Rodez Airport(RDZ),44.406981099999996,2.485279370081808
